weekyear,Equipment Type,Container Size,Location,Export Units,Import Units,Imbalance
2022-10,Reefer,20,C,176,96,-80
2022-10,Reefer,20,E,48,0,-48
2022-10,Reefer,20,F,288,32,-256
2022-10,Reefer,20,G,16,0,-16
2022-10,Reefer,40,A,17008,4080,-12928
2022-10,Reefer,40,B,15840,8720,-7120
2022-10,Reefer,40,C,9344,23424,14080
2022-10,Reefer,40,D,0,32,32
2022-10,Reefer,40,E,1280,1136,-144
2022-10,Reefer,40,F,4400,544,-3856
2022-10,Reefer,40,G,9040,3024,-6016
2022-11,Dry,20,A,69200,43488,-25712
2022-11,Dry,20,B,98592,106880,8288
2022-11,Dry,20,C,17568,27488,9920
2022-11,Dry,20,D,0,1136,1136
2022-11,Dry,20,E,11184,18080,6896
2022-11,Dry,20,F,8976,3424,-5552
2022-11,Dry,20,G,14384,3456,-10928
2022-11,Dry,40,A,90560,76656,-13904
2022-11,Dry,40,B,119200,138240,19040
2022-11,Dry,40,C,30688,42368,11680
2022-11,Dry,40,D,608,32,-576
2022-11,Dry,40,E,27136,27248,112
2022-11,Dry,40,F,35984,5984,-30000
2022-11,Dry,40,G,8256,7184,-1072
2022-11,Reefer,20,A,192,16,-176
2022-11,Reefer,20,B,496,416,-80
2022-11,Reefer,20,C,32,64,32
2022-11,Reefer,20,E,32,32,0
2022-11,Reefer,20,F,32,0,-32
2022-11,Reefer,20,G,16,0,-16
2022-11,Reefer,40,A,16928,11184,-5744
2022-11,Reefer,40,B,18544,26032,7488
2022-11,Reefer,40,C,10896,21936,11040
2022-11,Reefer,40,E,1392,592,-800
2022-11,Reefer,40,F,4816,560,-4256
2022-11,Reefer,40,G,2624,1168,-1456
2022-12,Dry,20,A,46544,55152,8608
2022-12,Dry,20,B,78992,101040,22048
2022-12,Dry,20,C,13040,26000,12960
2022-12,Dry,20,D,0,784,784
2022-12,Dry,20,E,9504,12656,3152
2022-12,Dry,20,F,10016,7392,-2624
2022-12,Dry,20,G,23568,7856,-15712
2022-12,Dry,40,A,86288,60784,-25504
2022-12,Dry,40,B,106912,133168,26256
2022-12,Dry,40,C,28624,66736,38112
2022-12,Dry,40,D,1632,32,-1600
2022-12,Dry,40,E,15424,8736,-6688
2022-12,Dry,40,F,20752,13312,-7440
2022-12,Dry,40,G,12224,11680,-544
2022-12,Reefer,20,A,352,0,-352
2022-12,Reefer,20,B,240,176,-64
2022-12,Reefer,20,C,16,160,144
2022-12,Reefer,20,E,144,16,-128
2022-12,Reefer,20,F,48,16,-32
2022-12,Reefer,20,G,0,48,48
2022-12,Reefer,40,A,13760,8336,-5424
2022-12,Reefer,40,B,12160,8688,-3472
2022-12,Reefer,40,C,6416,25712,19296
2022-12,Reefer,40,E,1264,2816,1552
2022-12,Reefer,40,F,1616,1632,16
2022-12,Reefer,40,G,3552,4352,800
2022-13,Dry,20,A,80544,47536,-33008
2022-13,Dry,20,B,109296,96240,-13056
2022-13,Dry,20,C,21504,34064,12560
2022-13,Dry,20,D,0,32,32
2022-13,Dry,20,E,19376,21152,1776
2022-13,Dry,20,F,8736,8432,-304
2022-13,Dry,20,G,32832,12992,-19840
2022-13,Dry,40,A,103776,79472,-24304
2022-13,Dry,40,B,134864,90768,-44096
2022-13,Dry,40,C,21984,54416,32432
2022-13,Dry,40,D,1328,0,-1328
2022-13,Dry,40,E,38384,30240,-8144
2022-13,Dry,40,F,25024,21200,-3824
2022-13,Dry,40,G,17984,24144,6160
2022-13,Reefer,20,A,512,32,-480
2022-13,Reefer,20,B,32,368,336
2022-13,Reefer,20,C,144,96,-48
2022-13,Reefer,20,E,64,0,-64
2022-13,Reefer,20,F,272,96,-176
2022-13,Reefer,20,G,64,48,-16
2022-13,Reefer,40,A,22048,8064,-13984
2022-13,Reefer,40,B,21952,37120,15168
2022-13,Reefer,40,C,7472,27312,19840
2022-13,Reefer,40,E,720,640,-80
2022-13,Reefer,40,F,4912,1088,-3824
2022-13,Reefer,40,G,8112,6672,-1440
2022-14,Dry,20,A,46528,61040,14512
2022-14,Dry,20,B,101424,88336,-13088
2022-14,Dry,20,C,19360,27264,7904
2022-14,Dry,20,D,0,112,112
2022-14,Dry,20,E,11600,24544,12944
2022-14,Dry,20,F,13760,9216,-4544
2022-14,Dry,20,G,32672,12784,-19888
2022-14,Dry,40,A,70000,69072,-928
2022-14,Dry,40,B,129840,148240,18400
2022-14,Dry,40,C,40736,66432,25696
2022-14,Dry,40,D,1200,80,-1120
2022-14,Dry,40,E,20592,21904,1312
2022-14,Dry,40,F,25984,24672,-1312
2022-14,Dry,40,G,13792,14448,656
2022-14,Reefer,20,A,304,16,-288
2022-14,Reefer,20,B,400,160,-240
2022-14,Reefer,20,C,208,160,-48
2022-14,Reefer,20,E,16,0,-16
2022-14,Reefer,20,F,176,32,-144
2022-14,Reefer,20,G,96,32,-64
2022-14,Reefer,40,A,13936,5296,-8640
2022-14,Reefer,40,B,31008,31984,976
2022-14,Reefer,40,C,7152,17712,10560
2022-14,Reefer,40,D,0,96,96
2022-14,Reefer,40,E,576,1200,624
2022-14,Reefer,40,F,5664,1040,-4624
2022-14,Reefer,40,G,9360,3888,-5472
2022-15,Dry,20,A,64224,44336,-19888
2022-15,Dry,20,B,101712,120384,18672
2022-15,Dry,20,C,28672,46272,17600
2022-15,Dry,20,E,13536,14960,1424
2022-15,Dry,20,F,8112,6592,-1520
2022-15,Dry,20,G,38304,13440,-24864
2022-15,Dry,40,A,79536,68672,-10864
2022-15,Dry,40,B,116496,182336,65840
2022-15,Dry,40,C,34608,73248,38640
2022-15,Dry,40,D,112,0,-112
2022-15,Dry,40,E,28832,16752,-12080
2022-15,Dry,40,F,19536,8000,-11536
2022-15,Dry,40,G,18400,17872,-528
2022-15,Reefer,20,A,368,0,-368
2022-15,Reefer,20,B,64,272,208
2022-15,Reefer,20,C,80,16,-64
2022-15,Reefer,20,E,80,128,48
2022-15,Reefer,20,F,48,0,-48
2022-15,Reefer,40,A,22176,6400,-15776
2022-15,Reefer,40,B,26864,38128,11264
2022-15,Reefer,40,C,7776,20832,13056
2022-15,Reefer,40,D,0,16,16
2022-15,Reefer,40,E,960,848,-112
2022-15,Reefer,40,F,2336,256,-2080
2022-15,Reefer,40,G,6368,6800,432
2022-16,Dry,20,A,57840,44640,-13200
2022-16,Dry,20,B,108752,102576,-6176
2022-16,Dry,20,C,21088,32336,11248
2022-16,Dry,20,D,0,32,32
2022-16,Dry,20,E,15648,20464,4816
2022-16,Dry,20,F,9248,9984,736
2022-16,Dry,20,G,46464,16224,-30240
2022-16,Dry,40,A,104848,61792,-43056
2022-16,Dry,40,B,138368,126560,-11808
2022-16,Dry,40,C,28592,62352,33760
2022-16,Dry,40,D,720,80,-640
2022-16,Dry,40,E,38992,22784,-16208
2022-16,Dry,40,F,16432,19968,3536
2022-16,Dry,40,G,26400,18096,-8304
2022-16,Reefer,20,A,240,16,-224
2022-16,Reefer,20,B,416,160,-256
2022-16,Reefer,20,C,176,80,-96
2022-16,Reefer,20,E,96,16,-80
2022-16,Reefer,20,F,448,16,-432
2022-16,Reefer,20,G,0,16,16
2022-16,Reefer,40,A,18400,7824,-10576
2022-16,Reefer,40,B,33856,15936,-17920
2022-16,Reefer,40,C,7632,13072,5440
2022-16,Reefer,40,E,864,1056,192
2022-16,Reefer,40,F,2832,1120,-1712
2022-16,Reefer,40,G,4272,3088,-1184
2022-17,Dry,20,A,57280,38896,-18384
2022-17,Dry,20,B,113280,82016,-31264
2022-17,Dry,20,C,15168,30464,15296
2022-17,Dry,20,E,13648,19520,5872
2022-17,Dry,20,F,8224,5312,-2912
2022-17,Dry,20,G,32080,8432,-23648
2022-17,Dry,40,A,84752,54096,-30656
2022-17,Dry,40,B,164656,115904,-48752
2022-17,Dry,40,C,24672,54192,29520
2022-17,Dry,40,D,1392,16,-1376
2022-17,Dry,40,E,21184,26144,4960
2022-17,Dry,40,F,26960,10848,-16112
2022-17,Dry,40,G,14496,16896,2400
2022-17,Reefer,20,A,352,0,-352
2022-17,Reefer,20,B,368,128,-240
2022-17,Reefer,20,C,128,160,32
2022-17,Reefer,20,E,16,48,32
2022-17,Reefer,20,F,240,0,-240
2022-17,Reefer,20,G,32,160,128
2022-17,Reefer,40,A,18560,10736,-7824
2022-17,Reefer,40,B,19808,8640,-11168
2022-17,Reefer,40,C,4864,20288,15424
2022-17,Reefer,40,D,0,32,32
2022-17,Reefer,40,E,432,832,400
2022-17,Reefer,40,F,3056,912,-2144
2022-17,Reefer,40,G,5760,2560,-3200
2022-18,Dry,20,A,53664,46848,-6816
2022-18,Dry,20,B,94336,75888,-18448
2022-18,Dry,20,C,19040,32800,13760
2022-18,Dry,20,D,0,208,208
2022-18,Dry,20,E,12816,28288,15472
2022-18,Dry,20,F,9904,14976,5072
2022-18,Dry,20,G,81552,7104,-74448
2022-18,Dry,40,A,74896,62336,-12560
2022-18,Dry,40,B,158944,142096,-16848
2022-18,Dry,40,C,30848,62544,31696
2022-18,Dry,40,D,640,96,-544
2022-18,Dry,40,E,26208,24656,-1552
2022-18,Dry,40,F,13872,30176,16304
2022-18,Dry,40,G,22512,14720,-7792
2022-18,Reefer,20,A,192,16,-176
2022-18,Reefer,20,B,48,288,240
2022-18,Reefer,20,C,80,160,80
2022-18,Reefer,20,E,128,16,-112
2022-18,Reefer,20,F,48,48,0
2022-18,Reefer,20,G,112,16,-96
2022-18,Reefer,40,A,11296,6832,-4464
2022-18,Reefer,40,B,21584,29408,7824
2022-18,Reefer,40,C,4976,24608,19632
2022-18,Reefer,40,D,16,0,-16
2022-18,Reefer,40,E,720,2928,2208
2022-18,Reefer,40,F,1392,960,-432
2022-18,Reefer,40,G,8432,1472,-6960
2022-19,Dry,20,A,63056,49312,-13744
2022-19,Dry,20,B,89840,106368,16528
2022-19,Dry,20,C,11056,30048,18992
2022-19,Dry,20,D,0,64,64
2022-19,Dry,20,E,15632,29664,14032
2022-19,Dry,20,F,11888,6704,-5184
2022-19,Dry,20,G,51856,8064,-43792
2022-19,Dry,40,A,109328,84576,-24752
2022-19,Dry,40,B,136816,165424,28608
2022-19,Dry,40,C,15360,52096,36736
2022-19,Dry,40,D,208,0,-208
2022-19,Dry,40,E,29440,34160,4720
2022-19,Dry,40,F,35984,16752,-19232
2022-19,Dry,40,G,23728,17280,-6448
2022-19,Reefer,20,A,432,16,-416
2022-19,Reefer,20,B,64,192,128
2022-19,Reefer,20,C,96,64,-32
2022-19,Reefer,20,E,16,48,32
2022-19,Reefer,20,F,304,16,-288
2022-19,Reefer,20,G,80,16,-64
2022-19,Reefer,40,A,17568,7760,-9808
2022-19,Reefer,40,B,19648,18464,-1184
2022-19,Reefer,40,C,4496,17232,12736
2022-19,Reefer,40,D,0,32,32
2022-19,Reefer,40,E,496,1184,688
2022-19,Reefer,40,F,4912,1520,-3392
2022-19,Reefer,40,G,7248,1216,-6032
2022-20,Dry,20,A,70128,45328,-24800
2022-20,Dry,20,B,118096,122480,4384
2022-20,Dry,20,C,30240,25696,-4544
2022-20,Dry,20,D,0,16,16
2022-20,Dry,20,E,15680,21936,6256
2022-20,Dry,20,F,6432,8768,2336
2022-20,Dry,20,G,67040,9280,-57760
2022-20,Dry,40,A,99904,66880,-33024
2022-20,Dry,40,B,159120,130768,-28352
2022-20,Dry,40,C,44544,41504,-3040
2022-20,Dry,40,D,400,16,-384
2022-20,Dry,40,E,33600,27120,-6480
2022-20,Dry,40,F,18192,22160,3968
2022-20,Dry,40,G,25968,18800,-7168
2022-20,Reefer,20,A,512,32,-480
2022-20,Reefer,20,B,768,720,-48
2022-20,Reefer,20,C,176,64,-112
2022-20,Reefer,20,E,112,64,-48
2022-20,Reefer,20,G,112,48,-64
2022-20,Reefer,40,A,19312,8448,-10864
2022-20,Reefer,40,B,18512,14592,-3920
2022-20,Reefer,40,C,7280,25088,17808
2022-20,Reefer,40,D,0,16,16
2022-20,Reefer,40,E,1360,3904,2544
2022-20,Reefer,40,F,2608,784,-1824
2022-20,Reefer,40,G,7808,1440,-6368
2022-21,Dry,20,A,60336,39776,-20560
2022-21,Dry,20,B,88096,123744,35648
2022-21,Dry,20,C,21376,25072,3696
2022-21,Dry,20,D,0,848,848
2022-21,Dry,20,E,3600,8672,5072
2022-21,Dry,20,F,13392,6960,-6432
2022-21,Dry,20,G,75440,13280,-62160
2022-21,Dry,40,A,82944,47760,-35184
2022-21,Dry,40,B,172256,163424,-8832
2022-21,Dry,40,C,22800,47056,24256
2022-21,Dry,40,D,2224,880,-1344
2022-21,Dry,40,E,7440,9632,2192
2022-21,Dry,40,F,21632,18704,-2928
2022-21,Dry,40,G,29456,15888,-13568
2022-21,Reefer,20,A,672,16,-656
2022-21,Reefer,20,B,496,528,32
2022-21,Reefer,20,C,224,96,-128
2022-21,Reefer,20,E,16,0,-16
2022-21,Reefer,20,F,384,80,-304
2022-21,Reefer,20,G,96,16,-80
2022-21,Reefer,40,A,17856,6336,-11520
2022-21,Reefer,40,B,14928,17632,2704
2022-21,Reefer,40,C,5280,20832,15552
2022-21,Reefer,40,E,560,768,208
2022-21,Reefer,40,F,2848,1248,-1600
2022-21,Reefer,40,G,6880,1632,-5248
2022-22,Dry,20,A,33296,37584,4288
2022-22,Dry,20,B,138336,117424,-20912
2022-22,Dry,20,C,12304,36064,23760
2022-22,Dry,20,E,8880,9488,608
2022-22,Dry,20,F,5520,8224,2704
2022-22,Dry,20,G,45696,9936,-35760
2022-22,Dry,40,A,63824,60416,-3408
2022-22,Dry,40,B,166096,122448,-43648
2022-22,Dry,40,C,21408,62288,40880
2022-22,Dry,40,D,32,0,-32
2022-22,Dry,40,E,21872,16480,-5392
2022-22,Dry,40,F,13376,11104,-2272
2022-22,Dry,40,G,18816,16512,-2304
2022-22,Reefer,20,A,160,0,-160
2022-22,Reefer,20,B,592,400,-192
2022-22,Reefer,20,C,48,48,0
2022-22,Reefer,20,E,128,64,-64
2022-22,Reefer,20,F,80,0,-80
2022-22,Reefer,20,G,0,96,96
2022-22,Reefer,40,A,10288,6368,-3920
2022-22,Reefer,40,B,15616,15072,-544
2022-22,Reefer,40,C,6528,22176,15648
