Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
ELV,Export Loaded on Vessel,40HR,16,2022-01-04,E
ELV,Export Loaded on Vessel,40HR,1360,2022-01-04,F
ELV,Export Loaded on Vessel,40HR,416,2022-01-04,C
ELV,Export Loaded on Vessel,40HR,768,2022-01-04,G
IDV,Import Discharged from Vessel,20DV,4384,2022-01-04,A
IDV,Import Discharged from Vessel,20DV,24800,2022-01-04,B
IDV,Import Discharged from Vessel,20DV,144,2022-01-04,F
IDV,Import Discharged from Vessel,20DV,8736,2022-01-04,C
IDV,Import Discharged from Vessel,20DV,128,2022-01-04,G
IDV,Import Discharged from Vessel,20RE,64,2022-01-04,B
IDV,Import Discharged from Vessel,20RE,80,2022-01-04,C
IDV,Import Discharged from Vessel,40DV,688,2022-01-04,A
IDV,Import Discharged from Vessel,40DV,2224,2022-01-04,B
IDV,Import Discharged from Vessel,40DV,80,2022-01-04,F
IDV,Import Discharged from Vessel,40DV,160,2022-01-04,C
IDV,Import Discharged from Vessel,40HC,11392,2022-01-04,A
IDV,Import Discharged from Vessel,40HC,26016,2022-01-04,B
IDV,Import Discharged from Vessel,40HC,208,2022-01-04,E
IDV,Import Discharged from Vessel,40HC,224,2022-01-04,F
IDV,Import Discharged from Vessel,40HC,5056,2022-01-04,C
IDV,Import Discharged from Vessel,40HC,1024,2022-01-04,G
IDV,Import Discharged from Vessel,40HR,224,2022-01-04,A
IDV,Import Discharged from Vessel,40HR,2304,2022-01-04,B
IDV,Import Discharged from Vessel,40HR,720,2022-01-04,C
ELV,Export Loaded on Vessel,20DV,14064,2022-01-05,A
ELV,Export Loaded on Vessel,20DV,8032,2022-01-05,B
ELV,Export Loaded on Vessel,20DV,1104,2022-01-05,E
ELV,Export Loaded on Vessel,20DV,2000,2022-01-05,F
ELV,Export Loaded on Vessel,20DV,704,2022-01-05,C
ELV,Export Loaded on Vessel,20DV,6672,2022-01-05,G
ELV,Export Loaded on Vessel,20RE,80,2022-01-05,A
ELV,Export Loaded on Vessel,20RE,16,2022-01-05,B
ELV,Export Loaded on Vessel,20RE,112,2022-01-05,F
ELV,Export Loaded on Vessel,40DV,1104,2022-01-05,A
ELV,Export Loaded on Vessel,40DV,736,2022-01-05,B
ELV,Export Loaded on Vessel,40DV,176,2022-01-05,E
ELV,Export Loaded on Vessel,40DV,288,2022-01-05,F
ELV,Export Loaded on Vessel,40DV,32,2022-01-05,C
ELV,Export Loaded on Vessel,40DV,112,2022-01-05,G
ELV,Export Loaded on Vessel,40HC,9968,2022-01-05,A
ELV,Export Loaded on Vessel,40HC,12768,2022-01-05,B
ELV,Export Loaded on Vessel,40HC,2784,2022-01-05,E
ELV,Export Loaded on Vessel,40HC,3024,2022-01-05,F
ELV,Export Loaded on Vessel,40HC,1312,2022-01-05,C
ELV,Export Loaded on Vessel,40HC,2416,2022-01-05,G
ELV,Export Loaded on Vessel,40HR,3536,2022-01-05,A
ELV,Export Loaded on Vessel,40HR,3088,2022-01-05,B
ELV,Export Loaded on Vessel,40HR,416,2022-01-05,F
ELV,Export Loaded on Vessel,40HR,16,2022-01-05,C
ELV,Export Loaded on Vessel,40HR,736,2022-01-05,G
IDV,Import Discharged from Vessel,20DV,6048,2022-01-05,A
IDV,Import Discharged from Vessel,20DV,24496,2022-01-05,B
IDV,Import Discharged from Vessel,20DV,2096,2022-01-05,E
IDV,Import Discharged from Vessel,20DV,832,2022-01-05,F
IDV,Import Discharged from Vessel,20DV,6080,2022-01-05,C
IDV,Import Discharged from Vessel,20DV,896,2022-01-05,G
IDV,Import Discharged from Vessel,20RE,16,2022-01-05,A
IDV,Import Discharged from Vessel,20RE,16,2022-01-05,B
IDV,Import Discharged from Vessel,40DV,976,2022-01-05,A
IDV,Import Discharged from Vessel,40DV,1328,2022-01-05,B
IDV,Import Discharged from Vessel,40DV,528,2022-01-05,E
IDV,Import Discharged from Vessel,40DV,32,2022-01-05,F
IDV,Import Discharged from Vessel,40DV,576,2022-01-05,C
IDV,Import Discharged from Vessel,40DV,16,2022-01-05,G
IDV,Import Discharged from Vessel,40HC,10080,2022-01-05,A
IDV,Import Discharged from Vessel,40HC,20496,2022-01-05,B
IDV,Import Discharged from Vessel,40HC,6080,2022-01-05,E
IDV,Import Discharged from Vessel,40HC,144,2022-01-05,F
IDV,Import Discharged from Vessel,40HC,12864,2022-01-05,C
IDV,Import Discharged from Vessel,40HC,1632,2022-01-05,G
IDV,Import Discharged from Vessel,40HR,224,2022-01-05,A
IDV,Import Discharged from Vessel,40HR,1696,2022-01-05,B
IDV,Import Discharged from Vessel,40HR,16,2022-01-05,E
IDV,Import Discharged from Vessel,40HR,208,2022-01-05,C
IDV,Import Discharged from Vessel,40HR,1088,2022-01-05,G
ELV,Export Loaded on Vessel,20DV,14000,2022-01-06,A
ELV,Export Loaded on Vessel,20DV,14992,2022-01-06,B
